Fecha;Año;Medio;Posición;Artista;Canción;Nacionalidad;Género
ene-21;2021;Spotify;97;Ovy On The Drums, Danny Ocean, KAROL G;Miedito o Qué? (feat. KAROL G);CO, US, CO;Urbano
ene-21;2021;Spotify;98;Jowell & Randy, J Balvin;Anaranjado;PR, CO;Urbano
ene-21;2021;Spotify;99;Maluma, Myke Towers;Madrid (feat. Myke Towers);CO, PR;Urbano
ene-21;2021;Spotify;100;Reik, Farruko, Camilo;Si Me Dices Que Sí;MX, PR, ES;Pop
feb-21;2021;Spotify;1;Myke Towers, Juhn;Bandido;PR, PR;Urbano
feb-21;2021;Spotify;2;Bad Bunny, JHAYCO;DÁKITI;PR, PR;Urbano
feb-21;2021;Spotify;3;Los Legendarios, Wisin, JHAYCO;Fiel;PR, PR, PR;Urbano
feb-21;2021;Spotify;4;Bad Bunny, ROSALÍA;LA NOCHE DE ANOCHE;PR, ES;Urbano
feb-21;2021;Spotify;5;Boza;Hecha Pa' Mi;PA;Urbano
feb-21;2021;Spotify;6;KAROL G;BICHOTA;CO;Urbano
feb-21;2021;Spotify;7;Rauw Alejandro, Anuel AA;Reloj;PR, PR;Urbano
feb-21;2021;Spotify;8;Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy;No Te Enamores - Remix;IT, PR, PR, PR, DO;Urbano
feb-21;2021;Spotify;9;Rochy RD, Myke Towers, Nicki Nicole;Ella No Es Tuya - Remix;DO, PR, AR;Urbano
feb-21;2021;Spotify;10;Nicky Jam, Myke Towers;Polvo;PR, PR;Urbano
feb-21;2021;Spotify;11;Bad Bunny;TE MUDASTE;PR;Urbano
feb-21;2021;Spotify;12;Ozuna, J Balvin, Chencho Corleone;Una Locura;PR, CO, PR;Urbano
feb-21;2021;Spotify;13;Justin Quiles;Ponte Pa' Mi;PR;Urbano
feb-21;2021;Spotify;14;Manuel Turizo, Rauw Alejandro, Myke Towers;La Nota;CO, PR, PR;Urbano
feb-21;2021;Spotify;15;Selena Gomez, Rauw Alejandro;Baila Conmigo (with Rauw Alejandro);US, PR;Pop
feb-21;2021;Spotify;16;El Futuro Fuera De Orbita, Harry Nach, La Nevula23 Productor;Juju Juju;CL, CL, CL;Urbano
feb-21;2021;Spotify;17;Wisin, Myke Towers, Los Legendarios;Mi Niña;PR, PR, PR;Urbano
feb-21;2021;Spotify;18;KEVIN ROLDAN, Bryant Myers, Lyanno;HASTA ABAJO;CO, PR, PR;Urbano
feb-21;2021;Spotify;19;Sech;911;PA;Urbano
feb-21;2021;Spotify;20;Farruko;La Tóxica;PR;Urbano
feb-21;2021;Spotify;21;Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko;Relación - Remix;PA, PR, CO, ES, PR;Urbano
