Fecha;Medio;Posición;Artista;Canción;Género;Nacionalidad
ene-23;Spotify;#¿NOMBRE?;Pailita, El Jordan 23, Noriel, Pablo Chill-E;Na Na Na - Remix;;
ene-23;Spotify;#¿NOMBRE?;Bad Bunny;Efecto;;
ene-23;Spotify;#¿NOMBRE?;KAROL G, Ovy On The Drums;CAIRO;;
ene-23;Spotify;#¿NOMBRE?;Bad Bunny, Chencho Corleone;Me Porto Bonito;;
ene-23;Spotify;#¿NOMBRE?;ITHAN NY, Tunechikidd, Nickoog Clk;TU DIABLO;;
ene-23;Spotify;#¿NOMBRE?;Julianno Sosa, Young Cister;GANAS;;
ene-23;Spotify;#¿NOMBRE?;Shakira, Ozuna;Monotonía;;
ene-23;Spotify;#¿NOMBRE?;Feid;Normal;;
ene-23;Spotify;#¿NOMBRE?;Stars Music Chile, Cris Mj, Standly;Marisola;;
ene-23;Spotify;#¿NOMBRE?;Jairo Vera, Darkiel, Gino Mella, Best, Bayriton;ADICTO (feat. Best, Bayriton);;
ene-23;Spotify;#¿NOMBRE?;Feid, Ak4:20, Taiko;Malibu;;
ene-23;Spotify;#¿NOMBRE?;Jairo Vera;PA K TE ENAMORE;;
ene-23;Spotify;#¿NOMBRE?;Rauw Alejandro, Lyanno, Brray;LOKERA;;
ene-23;Spotify;#¿NOMBRE?;Polimá Westcoast, Quevedo, Mora;LACONE;;
ene-23;Spotify;#¿NOMBRE?;El Punto40, Marcianeke;Mini Mini;;
ene-23;Spotify;#¿NOMBRE?;Bad Bunny, Bomba Estéreo;Ojitos Lindos;;
ene-23;Spotify;#¿NOMBRE?;Wisin & Yandel, ROSALÍA;Besos Moja2;;
ene-23;Spotify;#¿NOMBRE?;Rauw Alejandro, Baby Rasta;PUNTO 40;;
ene-23;Spotify;#¿NOMBRE?;ROSALÍA;DESPECHÁ;;
ene-23;Spotify;#¿NOMBRE?;Quevedo, Myke Towers;PLAYA DEL INGLÉS;;
ene-23;Spotify;#¿NOMBRE?;Cris Mj, Tiago PZK;Fiera;;
ene-23;Spotify;#¿NOMBRE?;Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto;ULTRA SOLO REMIX;;
ene-23;Spotify;#¿NOMBRE?;Bad Bunny;Tití Me Preguntó;;
ene-23;Spotify;#¿NOMBRE?;Bad Bunny;Moscow Mule;;
ene-23;Spotify;#¿NOMBRE?;Mora, Feid;LA INOCENTE;;
ene-23;Spotify;#¿NOMBRE?;Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C;BABY OTAKU;;
ene-23;Spotify;#¿NOMBRE?;Bad Bunny;Neverita;;
ene-23;Spotify;#¿NOMBRE?;Cris Mj;Una Noche en Medellín;;
ene-23;Spotify;#¿NOMBRE?;Cris Mj, Ak4:20;Sin Seguro;;
ene-23;Spotify;#¿NOMBRE?;Jairo Vera, Balbi El Chamako, Nickoog Clk, El Rey, Gringuitos Records;Te Extraño a Lo Vio (feat. El Rey & Gringuitos Records);;
ene-23;Spotify;#¿NOMBRE?;Harry Styles;As It Was;;
ene-23;Spotify;#¿NOMBRE?;Marcianeke, Jairo Vera;Dime;;
ene-23;Spotify;#¿NOMBRE?;Young Cister;LA TERAPIA;;
ene-23;Spotify;#¿NOMBRE?;Shakira, Rauw Alejandro;Te Felicito;;
ene-23;Spotify;#¿NOMBRE?;Nickoog Clk;Salimos Del Tarro;;
ene-23;Spotify;#¿NOMBRE?;Julianno Sosa, Ñengo Flow, King Savagge, Ryan Castro;Cochinae (Remix);;
ene-23;Spotify;#¿NOMBRE?;Pailita, Young Cister;Caminemos de la Mano;;
ene-23;Spotify;#¿NOMBRE?;Nickoog Clk, Julianno Sosa;Chamaka;;
ene-23;Spotify;#¿NOMBRE?;Jairo Vera;Lealtad;;
ene-23;Spotify;#¿NOMBRE?;Paloma Mami, Pailita, El Jordan 23;SíNTOMAS DE SOLTERA;;
ene-23;Spotify;#¿NOMBRE?;Quevedo;WANDA;;
ene-23;Spotify;#¿NOMBRE?;KAROL G;PROVENZA;;
ene-23;Spotify;#¿NOMBRE?;Ak4:20, Pailita, Cris Mj;Me Arrepentí;;
ene-23;Spotify;#¿NOMBRE?;Cris Mj, Blessd;Gucci en Paris;;
ene-23;Spotify;#¿NOMBRE?;Quevedo;AHORA QUÉ;;
ene-23;Spotify;#¿NOMBRE?;Rauw Alejandro, Chencho Corleone;Desesperados;;
ene-23;Spotify;#¿NOMBRE?;Cris Mj, Fran C;Bellakera;;
ene-23;Spotify;#¿NOMBRE?;KAROL G, Maldy;GATÚBELA;;
ene-23;Spotify;#¿NOMBRE?;Lucky Brown, Jairo Vera, Valdi;Kilo De Amigas;;
ene-23;Spotify;#¿NOMBRE?;Standly;Panamera;;
