"Fecha","Medio","Posición","Artista","Canción","Nacionalidad","Genero"
"ene-23","Spotify","62","Jairo Vera","Lealtad","CL","Urbano"
"ene-23","Spotify","63","Paloma Mami, Pailita, El Jordan 23","SíNTOMAS DE SOLTERA","US","Urbano"
"ene-23","Spotify","64","Quevedo","WANDA","ES","Urbano"
"ene-23","Spotify","65","KAROL G","PROVENZA","CO","Urbano"
"ene-23","Spotify","66","Ak4:20, Pailita, Cris Mj","Me Arrepentí","CL","Urbano"
"ene-23","Spotify","67","Cris Mj, Blessd","Gucci en Paris","CL, CO","Urbano"
"ene-23","Spotify","68","Quevedo","AHORA QUÉ","ES","Urbano"
"ene-23","Spotify","69","Rauw Alejandro, Chencho Corleone","Desesperados","PR, PR","Urbano"
"ene-23","Spotify","70","Cris Mj, Fran C","Bellakera","CL","Urbano"
"ene-23","Spotify","71","KAROL G, Maldy","GATÚBELA","CO, PR","Urbano"
"ene-23","Spotify","72","Lucky Brown, Jairo Vera, Valdi","Kilo De Amigas","CL","Urbano"
"ene-23","Spotify","73","Standly","Panamera","CL","Urbano"
"ene-23","Spotify","74","Young Cister, Polimá Westcoast","SAMURAI","CL","Urbano"
"ene-23","Spotify","75","Santaferia, Grupo Zúmbale Primo","Que Te Vaya Bien","CL","Urbano"
"ene-23","Spotify","76","Jairo Vera","Tarima","CL","Urbano"
"ene-23","Spotify","77","Martinwhite, Erreflexx","V16","CL","Urbano"
"ene-23","Spotify","78","Myke Towers, Daddy Yankee","ULALA (OOH LA LA)","PR, PR","Urbano"
"ene-23","Spotify","79","Fayer Music, Jere Klein, King Savage","Hielo","CL","Urbano"
"ene-23","Spotify","80","JHAYCO, Feid, Sech","En La De Ella","PR, CO, PA","Urbano"
"ene-23","Spotify","81","Bad Bunny, Tony Dize","La Corriente","PR, PR","Urbano"
"ene-23","Spotify","82","Feid","Ferxxo 100","CO","Urbano"
"ene-23","Spotify","83","Luar La L","Caile","PR","Urbano"
"ene-23","Spotify","84","Rema, Selena Gomez","Calm Down (with Selena Gomez)","NG, US","Latino/Tropical"
"ene-23","Spotify","85","Don Omar","Dile","PR","Urbano"
"ene-23","Spotify","86","Bad Bunny","Yonaguni","PR","Urbano"
"ene-23","Spotify","87","Gino Mella, Jairo Vera","Mujeriego","CL","Urbano"
"ene-23","Spotify","88","Young Cister, Nicki Nicole, Alvaro Diaz","LA TERAPIA REMIX","AR, PR","Urbano"
"ene-23","Spotify","89","Bellakath","Gatita","MX","Urbano"
"ene-23","Spotify","90","SZA","Kill Bill","US","Pop"
